X: -5, Y: 0, Z: -13.5, r: 1.0, g:1.0, b: 0.0, 
X: 1.8, Y: 0, Z: 1.17138, r: 1.0, g:1.0, b: 0.0, 
X: 1.9, Y: 0, Z: 1.0682, r: 1.0, g:1.0, b: 0.0, 
X: 2, Y: 0, Z: 0.966671, r: 1.0, g:1.0, b: 0.0, 
X: 2.1, Y: 0, Z: 0.867248, r: 1.0, g:1.0, b: 0.0, 
X: 2.2, Y: 0, Z: 0.770404, r: 1.0, g:1.0, b: 0.0, 
X: 2.3, Y: 0, Z: 0.676604, r: 1.0, g:1.0, b: 0.0, 
X: 2.4, Y: 0, Z: 0.586315, r: 1.0, g:1.0, b: 0.0, 
X: 2.5, Y: 0, Z: 0.500004, r: 1.0, g:1.0, b: 0.0, 
X: 2.6, Y: 0, Z: 0.418137, r: 1.0, g:1.0, b: 0.0, 
X: 2.7, Y: 0, Z: 0.341182, r: 1.0, g:1.0, b: 0.0, 
X: 2.8, Y: 0, Z: 0.269604, r: 1.0, g:1.0, b: 0.0, 
X: 2.9, Y: 0, Z: 0.203871, r: 1.0, g:1.0, b: 0.0, 
X: 3, Y: 0, Z: 0.144448, r: 1.0, g:1.0, b: 0.0, 
X: 3.1, Y: 0, Z: 0.0918038, r: 1.0, g:1.0, b: 0.0, 
X: 3.2, Y: 0, Z: 0.0464037, r: 1.0, g:1.0, b: 0.0, 
X: 3.3, Y: 0, Z: 0.00871465, r: 1.0, g:1.0, b: 0.0, 
X: 3.4, Y: 0, Z: -0.0207966, r: 1.0, g:1.0, b: 0.0, 
X: 3.5, Y: 0, Z: -0.0416635, r: 1.0, g:1.0, b: 0.0, 
X: 3.6, Y: 0, Z: -0.0534193, r: 1.0, g:1.0, b: 0.0, 
X: 3.7, Y: 0, Z: -0.0555973, r: 1.0, g:1.0, b: 0.0, 
X: 3.8, Y: 0, Z: -0.0477309, r: 1.0, g:1.0, b: 0.0, 
X: 3.9, Y: 0, Z: -0.0293534, r: 1.0, g:1.0, b: 0.0, 
X: 4, Y: 0, Z: 1.78141e-06, r: 1.0, g:1.0, b: 0.0, 
X: 4.1, Y: 0, Z: 0.0408015, r: 1.0, g:1.0, b: 0.0, 
X: 4.2, Y: 0, Z: 0.0935123, r: 1.0, g:1.0, b: 0.0, 
X: 4.3, Y: 0, Z: 0.158601, r: 1.0, g:1.0, b: 0.0, 
X: 4.4, Y: 0, Z: 0.236534, r: 1.0, g:1.0, b: 0.0, 
X: 4.5, Y: 0, Z: 0.327778, r: 1.0, g:1.0, b: 0.0, 
X: 4.6, Y: 0, Z: 0.432799, r: 1.0, g:1.0, b: 0.0, 
X: 4.7, Y: 0, Z: 0.552065, r: 1.0, g:1.0, b: 0.0, 
X: 4.8, Y: 0, Z: 0.686043, r: 1.0, g:1.0, b: 0.0, 
X: 4.9, Y: 0, Z: 0.835197, r: 1.0, g:1.0, b: 0.0, 
X: 5, Y: 0, Z: 0.999997, r: 1.0, g:1.0, b: 0.0, 
